id;name;postal_code;commune;numero;voie;lieu_dit;code_insee;siret;activite;contact_url;site_internet;longitude;latitude;transport_station_presence;transport_bureau_de_vote_accessibilite;stationnement_presence;stationnement_pmr;stationnement_ext_presence;stationnement_ext_pmr;cheminement_ext_presence;cheminement_ext_terrain_stable;cheminement_ext_plain_pied;cheminement_ext_ascenseur;cheminement_ext_ascenseur_pmr;cheminement_ext_nombre_marches;cheminement_ext_reperage_marches;cheminement_ext_sens_marches;cheminement_ext_main_courante;cheminement_ext_rampe;cheminement_ext_pente_presence;cheminement_ext_pente_degre_difficulte;cheminement_ext_pente_longueur;cheminement_ext_devers;cheminement_ext_bande_guidage;cheminement_ext_retrecissement;entree_reperage;entree_vitree;entree_vitree_vitrophanie;entree_plain_pied;entree_ascenseur;entree_ascenseur_pmr;entree_marches;entree_marches_reperage;entree_marches_main_courante;entree_marches_rampe;entree_marches_sens;entree_dispositif_appel;entree_dispositif_appel_type;entree_balise_sonore;entree_aide_humaine;entree_largeur_mini;entree_pmr;entree_porte_presence;entree_porte_manoeuvre;entree_porte_type;accueil_visibilite;accueil_personnels;accueil_audiodescription_presence;accueil_audiodescription;accueil_equipements_malentendants_presence;accueil_equipements_malentendants;accueil_cheminement_plain_pied;accueil_cheminement_ascenseur;accueil_cheminement_ascenseur_pmr;accueil_cheminement_nombre_marches;accueil_cheminement_reperage_marches;accueil_cheminement_main_courante;accueil_cheminement_rampe;accueil_cheminement_sens_marches;accueil_ascenseur_etage;accueil_ascenseur_etage_pmr;accueil_classes_accessibilite;accueil_espaces_ouverts;accueil_chambre_nombre_accessibles;accueil_chambre_douche_plain_pied;accueil_chambre_douche_siege;accueil_chambre_douche_barre_appui;accueil_chambre_sanitaires_barre_appui;accueil_chambre_sanitaires_espace_usage;accueil_chambre_numero_visible;accueil_chambre_equipement_alerte;accueil_chambre_accompagnement;accueil_retrecissement;accueil_isoloir_accessibilite;accueil_urne_accessibilite;sanitaires_presence;sanitaires_adaptes;labels;labels_familles_handicap;registre_url;conformite;rnb_id
e884470d-6a85-4e54-8a3a-d04f1c742cfb;Laboratoire Guevalt Pavillons-sous-Bois - Bioclinic;93320;Les Pavillons-sous-Bois;163;Avenue Franklin;;93057;;Laboratoire d'analyse médicale;;http://bioclinic.fr/laboratoire-analyse-medical/franklin/;2.506959;48.901592;;;True;True;True;True;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;80.0;;True;;;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;True;True;;;;;7WV75CGH2KXP
2ebddf54-fee8-4f37-a467-ac1fc2c2c2b8;Laboratoire Guevalt République - Bioclinic;75011;Paris;32;Boulevard du Temple;;75111;;Laboratoire d'analyse médicale;;http://bioclinic.fr/laboratoire-analyse-medical/republique/;2.365838;48.865149;;;;;;;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;80.0;;True;;;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;True;True;;;;;E7TJASM53AX4
2de6861f-e9ed-4531-9e9a-6528962fd63a;Laboratoire Guevalt Riso La Varenne - Bioclinic;94210;Saint-Maur-des-Fossés;22;Avenue du Mesnil;;94068;;Laboratoire d'analyse médicale;;https://bioclinic.fr/;2.51473;48.79532;;;;;;;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;80.0;;True;;;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;True;True;;;;;X1TCZ1QHHZBG
15d20685-7459-400d-9773-938f1aba5ca8;Laboratoire Guevalt Rouget de l'Isle - Bioclinic;94400;Vitry-sur-Seine;181;Avenue Rouget de Lisle;;94081;;Laboratoire d'analyse médicale;;http://bioclinic.fr/;2.392865;48.784022;;;;;;;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;80.0;;True;;;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;True;True;;;;;SPDM3K6CWQD6
914c8da9-c2f6-418c-94d2-fed94104ceeb;Laboratoire Guevalt Saint-Paul - Bioclinic;75004;Paris;8;Rue de Rivoli;;75104;;Laboratoire d'analyse médicale;;http://bioclinic.fr/laboratoire-analyse-medical/saint-paul/;2.360909;48.855372;True;;False;;True;True;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;90.0;;True;;;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;True;True;;;;;8HG24T2AXWRB
2fbeabf7-8ae8-4d9e-9221-8a065339166f;Laboratoire Guevalt Saint-Sébastien - Bioclinic;75011;Paris;2;Boulevard des Filles du Calvaire;;75111;;Laboratoire d'analyse médicale;;http://bioclinic.fr/laboratoire-analyse-medical/saint-sebastien/;2.367541;48.860881;;;;;;;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;80.0;;True;;;;;;;;;True;;;;;;;;;;;[];;;;;;;;;;False;;;True;True;;;;;E4ENH4BXVSC4
d9697199-a223-4280-bec6-f98bf0601ae4;Laboratoire Guevalt Sevran - Bioclinic;93270;Sevran;16;rue lucien sportisse;;93071;;Laboratoire d'analyse médicale;;https://bioclinic.fr/laboratoire-analyse-medical/sevran/;2.531501;48.937014;;;;;True;True;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;80.0;;True;;;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;True;True;;;;;
64779afd-bd55-47c8-aaa6-acc9945792ec;Laboratoire Guevalt Tremblay - Bioclinic;94500;Champigny-sur-Marne;61;Avenue Roger Salengro;;94017;;Laboratoire d'analyse médicale;;https://bioclinic.fr/;2.489144;48.81903;;;;;;;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;80.0;;True;;;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;True;True;;;;;F2RQA71V7T61
3988f520-0917-44c8-9243-2de8bf90dc56;Laboratoire Guevalt Vanheste-Bauduret - Bioclinic;94100;Saint-Maur-des-Fossés;8bis;Rue des Remises;;94068;;Laboratoire d'analyse médicale;;https://bioclinic.fr/;2.473627;48.807052;;;True;True;True;True;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;80.0;;True;;;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;True;True;;;;;MCK5F7493F66
f46004a6-55fa-4b06-9e07-0cce7889f7df;Laboratoire Guevalt Vaugirard - Bioclinic;75015;Paris;234;Rue de Vaugirard;;75115;;Laboratoire d'analyse médicale;;http://bioclinic.fr/laboratoire-analyse-medical/vaugirard/;2.303877;48.840411;;;;;;;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;80.0;;True;;;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;True;True;;;;;5ZSK2VJKFKTZ
3c7582ee-b2cf-4bb2-9be8-2f7137f8cd7c;Laboratoire Guevalt Vitry - Bioclinic;94400;Vitry-sur-Seine;105bis;Boulevard de Stalingrad;;94081;;Laboratoire d'analyse médicale;;https://bioclinic.fr/laboratoire-analyse-medical/vitry/;2.380303;48.800075;;;;;;;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;80.0;;True;;;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;True;True;;;;;8J57K3RN9BFC
fcb2e6fb-2fed-4dc8-8b1a-a9bd4330084d;Laboratoire Guilbert et Bourgois BIOLAM-DOUAI;59500;Douai;99;Rue de la Tour de Bourgogne;;59178;;Laboratoire d'analyse médicale;;http://www.groupebiolam.fr/;3.081493;50.36424;;;True;True;True;True;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;80.0;;True;;;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;True;True;;;;;9B1P3WE2PGH6
8351c87f-0740-40ca-b794-b7702336e09d;Laboratoire Guilleminot;13300;Salon-de-Provence;354;Promenade des Tamaris;;13103;;Laboratoire d'analyse médicale;;;5.114039;43.635435;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;True;True;;;;;JRPT2J3A51HS
95f1405c-2f96-4a54-afa3-8b5de3ee766f;Laboratoire Gulassa Nicolas;28630;Mignières;3;Rue de Brémont;;28253;;Laboratoire d'analyse médicale;;;1.432794;48.360578;;;;;True;True;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;80.0;;True;;;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;True;True;;;;;2VKPN75BQ6M7
cf0f3ce7-cebd-4d10-8aa5-a45813fff5b3;Laboratoire Hagral;26400;Crest;;Rue Gustave Eiffel;;26108;;Laboratoire d'analyse médicale;;https://www.hagral.fr/;5.007507;44.730872;;;;;True;True;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;80.0;;True;;;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;;;;;;;
76304ef7-3b65-4da9-a09b-f769408b9d47;Laboratoire Harmonie;62217;Achicourt;37t;Rue Raoul Briquet;;62004;;Laboratoire d'analyse médicale;;;2.76249;50.276764;;;True;True;True;True;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;80.0;;True;;;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;True;True;;;;;V5N62TQ97TQY
f187bfb4-ab79-4bd1-bef1-1fec5dab95ce;Laboratoire Haute Picardie - Beauvillé;80000;Amiens;343;Boulevard de Beauvillé;;80021;;Laboratoire d'analyse médicale;;https://www.labo-hautepicardie.fr/;2.316078;49.904314;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;True;True;;;;;57T42MCKRJ8Q
5814ebfa-ec71-4cc2-9945-f263276fc796;Laboratoire Haute Picardie - Hôtel de Ville;80000;Amiens;7;Rue de Beauvais;;80021;;Laboratoire d'analyse médicale;;https://www.labo-hautepicardie.fr/;2.294461;49.892863;;;;;True;True;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;80.0;;True;;;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;True;True;;;;;GBBE8MFC6ZPJ
cf4c0cc0-2520-4124-a928-ea52f40038c3;Laboratoire Haute Picardie (LHP);80200;Estrées-Deniécourt;;Avenue Haute Picardie;;80288;;Laboratoire d'analyse médicale;;https://www.labo-hautepicardie.fr/;2.830417;49.865861;;;True;True;True;True;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;80.0;;True;;;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;;;;;;;
2d43300a-c97a-414c-83ac-5d86f14bee9a;Laboratoire Haute Picardie - Péronne;80200;Péronne;26bis;Rue Georges Clemenceau;;80620;;Laboratoire d'analyse médicale;;https://www.labo-hautepicardie.fr/p%C3%A9ronne;2.934686;49.930862;;;True;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;True;True;;;;;FBKBGDTQY1VW
74e0d4cd-36c5-442b-9dae-efee8574bc75;Laboratoire Hermant;45770;Saran;525bis;Rue du Faubourg Bannier;;45302;;Laboratoire d'analyse médicale;;https://www.anabiocentre.fr/laboratoire-de-saran/;1.894558;47.934702;;;True;True;True;True;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;80.0;;True;;;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;True;True;;;;;6SAE52PXQPDP
aa4ef74f-50f2-4467-b8a1-588721c20950;Laboratoire Himeur;92100;Boulogne-Billancourt;69;Avenue du Général Leclerc;;92012;;Laboratoire d'analyse médicale;;https://glbio.fr/;2.232778;48.829909;;;;;;;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;80.0;;True;;;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;True;True;;;;;VCTB9KHXN357
6bb4c8ab-aa49-4f91-847c-29ed8798abe1;Laboratoire Hoffmann;67170;Brumath;19;Rue Jacques Kablé;;67067;;Laboratoire d'analyse médicale;;;7.709851;48.730554;;;True;True;;;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;80.0;;True;;;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;True;True;;;;;HW715D1CZWDZ
